Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,19886.0,0.6452412605285645,warehouse_20_40_10_2_2
200,PIBT,1.0,42121.84,1.3017685222625732,warehouse_20_40_10_2_2
300,PIBT,1.0,64478.56,2.044647216796875,warehouse_20_40_10_2_2
400,PIBT,1.0,88638.28,2.6829772663116453,warehouse_20_40_10_2_2
500,PIBT,1.0,113875.96153846152,3.419620000399076,warehouse_20_40_10_2_2
600,PIBT,1.0,139886.48,4.051548137664795,warehouse_20_40_10_2_2
700,PIBT,1.0,167204.96,4.685777378082276,warehouse_20_40_10_2_2
800,PIBT,1.0,195169.36,5.357035083770752,warehouse_20_40_10_2_2
900,PIBT,1.0,222317.88,6.151280479431152,warehouse_20_40_10_2_2
1000,PIBT,1.0,250438.68,6.639637966156005,warehouse_20_40_10_2_2
